,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
406,6,27,100,10,20,1512,37,4824,37,0
407,6,27,100,10,30,1663,44,4843,35,0
408,6,27,100,10,40,1881,55,4872,39,0
409,6,27,100,10,80,2105,66,4909,40,0
410,6,27,100,10,160,2169,75,4899,32,0
411,6,27,100,10,250,2168,81,4894,29,0
412,6,27,100,10,320,2172,75,4894,30,0
413,6,27,100,15,20,761,17,4391,30,0
414,6,27,100,15,30,978,23,4554,30,0
415,6,27,100,15,40,1294,31,4715,28,0
416,6,27,100,15,80,1625,45,4808,35,0
417,6,27,100,15,160,1690,46,4812,29,0
418,6,27,100,15,250,1701,55,4805,25,0
419,6,27,100,15,320,1695,50,4809,31,0
420,10,11,15,5,20,3631,442,5480,1515,0
421,10,11,15,5,30,3768,475,5533,1468,0
422,10,11,15,5,40,3726,457,5515,1442,0
423,10,11,15,5,80,3614,456,5459,1395,0
424,10,11,15,5,160,3709,458,5472,1367,0
425,10,11,15,5,250,3977,518,5607,1387,0
426,10,11,15,5,320,4128,552,5734,1434,0
427,10,11,15,10,20,2666,244,5209,659,0
428,10,11,15,10,30,2871,245,5293,655,0
429,10,11,15,10,40,2911,274,5274,657,0
430,10,11,15,10,80,2874,264,5251,640,0
431,10,11,15,10,160,2891,280,5237,646,0
432,10,11,15,10,250,2951,299,5281,650,0
433,10,11,15,10,320,3012,317,5335,673,0
434,10,11,15,15,20,1931,135,4987,368,0
435,10,11,15,15,30,2234,167,5122,375,0
436,10,11,15,15,40,2311,171,5135,373,0
437,10,11,15,15,80,2312,188,5100,365,0
438,10,11,15,15,160,2319,196,5100,369,0
439,10,11,15,15,250,2334,207,5118,384,0
440,10,11,15,15,320,2347,203,5138,396,0
441,10,11,30,5,20,2470,104,4812,501,0
442,10,11,30,5,30,2729,132,5058,422,0
443,10,11,30,5,40,2808,161,5065,378,0
444,10,11,30,5,80,2854,155,5047,298,0
445,10,11,30,5,160,2853,173,5041,269,0
446,10,11,30,5,250,2891,195,5091,287,0
447,10,11,30,5,320,2928,209,5168,306,0
448,10,11,30,10,20,1777,65,4685,171,0
449,10,11,30,10,30,2195,100,4959,153,0
450,10,11,30,10,40,2334,113,4990,141,0
451,10,11,30,10,80,2386,139,4972,113,0
452,10,11,30,10,160,2384,131,4978,111,0
453,10,11,30,10,250,2362,140,4992,134,0
454,10,11,30,10,320,2328,144,5011,132,0
455,10,11,30,15,20,1137,38,4468,111,0
456,10,11,30,15,30,1711,73,4850,97,0
457,10,11,30,15,40,1855,89,4910,83,0
458,10,11,30,15,80,1936,109,4912,61,0
459,10,11,30,15,160,1945,109,4912,64,0
460,10,11,30,15,250,1912,111,4921,77,0
461,10,11,30,15,320,1889,103,4917,78,0
462,10,11,60,5,20,2742,134,4981,613,0
463,10,11,60,5,30,2974,182,5132,545,0
464,10,11,60,5,40,3001,184,5133,484,0
465,10,11,60,5,80,3011,195,5106,392,0
466,10,11,60,5,160,3002,201,5107,341,0
467,10,11,60,5,250,3063,224,5164,356,0
468,10,11,60,5,320,3130,233,5249,395,0
469,10,11,60,10,20,2010,77,4835,233,0
470,10,11,60,10,30,2400,131,5024,201,0
471,10,11,60,10,40,2491,139,5051,182,0
472,10,11,60,10,80,2521,158,5024,145,0
473,10,11,60,10,160,2514,168,5023,133,0
474,10,11,60,10,250,2484,162,5041,156,0
475,10,11,60,10,320,2474,167,5052,165,0
476,10,11,60,15,20,1352,50,4638,140,0
477,10,11,60,15,30,1869,93,4920,123,0
478,10,11,60,15,40,1992,111,4948,107,0
479,10,11,60,15,80,2066,112,4935,79,0
480,10,11,60,15,160,2054,125,4935,73,0
481,10,11,60,15,250,2028,127,4946,88,0
