,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
522,10,15,15,15,160,1980,3,4966,44,413
523,10,15,15,15,250,1984,3,4964,41,424
524,10,15,15,15,320,1981,3,4961,39,437
525,10,15,30,5,20,2231,1,4839,1,245
526,10,15,30,5,30,2486,1,4965,1,274
527,10,15,30,5,40,2616,1,4980,1,303
528,10,15,30,5,80,2670,1,4964,1,387
529,10,15,30,5,160,2671,1,4953,0,401
530,10,15,30,5,250,2673,1,4956,0,404
531,10,15,30,5,320,2670,1,4957,0,411
532,10,15,30,10,20,1181,2,4540,0,132
533,10,15,30,10,30,1760,2,4829,1,216
534,10,15,30,10,40,1956,2,4883,1,229
535,10,15,30,10,80,2081,1,4904,1,284
536,10,15,30,10,160,2101,1,4900,0,300
537,10,15,30,10,250,2101,2,4900,0,306
538,10,15,30,10,320,2098,2,4898,0,302
539,10,15,30,15,20,545,1,3859,0,94
540,10,15,30,15,30,1160,1,4629,0,112
541,10,15,30,15,40,1438,1,4778,0,154
542,10,15,30,15,80,1607,1,4819,0,214
543,10,15,30,15,160,1630,1,4822,0,227
544,10,15,30,15,250,1632,1,4819,0,232
545,10,15,30,15,320,1625,1,4821,0,234
546,10,15,60,5,20,2541,1,4974,7,321
547,10,15,60,5,30,2736,1,5034,6,375
548,10,15,60,5,40,2826,1,5034,4,401
549,10,15,60,5,80,2848,1,5000,1,421
550,10,15,60,5,160,2831,1,4987,1,479
551,10,15,60,5,250,2831,1,4982,1,491
552,10,15,60,5,320,2837,1,4985,1,454
553,10,15,60,10,20,1462,0,4718,4,173
554,10,15,60,10,30,1955,0,4895,5,229
555,10,15,60,10,40,2099,0,4935,4,289
556,10,15,60,10,80,2200,1,4935,1,322
557,10,15,60,10,160,2220,1,4930,1,307
558,10,15,60,10,250,2202,1,4926,1,348
559,10,15,60,10,320,2215,1,4927,1,334
560,10,15,60,15,20,722,0,4210,2,102
561,10,15,60,15,30,1362,0,4733,2,150
562,10,15,60,15,40,1584,0,4831,2,192
563,10,15,60,15,80,1724,1,4863,1,226
564,10,15,60,15,160,1744,1,4862,1,211
565,10,15,60,15,250,1744,1,4859,1,221
566,10,15,60,15,320,1742,1,4857,1,229
567,10,15,100,5,20,2572,1,4988,7,352
